Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count,Unnamed: 0,LSOA
City of London,Tate Community Garden,Museum,51.50799010000001,-0.0977654,4.5,0.5449385702610016,0.2666666666666666,0.3333333333333333,0.4,"Accessibility, Safety, Comfort, Maintenance, Aesthetics, Traffic, General","good (18), welcoming (9), wonderful (9), near (9), modern (9), sketchy (9), walking (9), dark (9), amazing (9), lovely (6), safe (3), lively (2)",24,,E01003935
City of London,St Michael's Church : Paternoster Royal,Church,51.51118719999999,-0.0922368,5.0,0.5940198004245758,0.0,0.4666666666666667,0.5333333333333333,"Maintenance, Aesthetics, General","lovely (18), beautiful (18), modern (9), great (9), damaged (9), safe (6), messy (3), peaceful (3)",25,,E01032739
City of London,All Hallows-On-The Wall,Tourist Attraction,51.51662820000001,-0.0843995999999999,4.6,0.6375796775023143,0.1333333333333333,0.2666666666666666,0.6,"Noise, Comfort, Atmosphere, Aesthetics, General","great (18), quiet (9), welcoming (9), wonderful (9), beautiful (9), peaceful (3), good (3)",40,,E01032739
City of London,One New Change,Shopping Mall,51.513924,-0.0954749,4.2,0.6883064031600952,0.0,0.4,0.6,"Accessibility, Noise, Atmosphere, Maintenance, Aesthetics, General","great (27), safe (21), new (18), modern (18), stunning (15), amazing (12), central (12), fantastic (9), perfect (9), lively (9), music (9), tidy (6), dark (6), dead (6)",7009,,E01032739
City of London,Liverpool Street,Transit Station,51.51875159999999,-0.0814374,4.3,0.7128103713194529,0.0,0.2,0.8,"Accessibility, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","safe (21), great (18), spacious (18), excellent (18), beautiful (9), enjoyable (9), pretty (9), modern (9), central (9), easy (9), busy (9), near (9), convenient (9), crowded (3), tidy (3)",3193,,E01032739
City of London,Fenchurch Street,Train Station,51.5117122,-0.0790618999999999,4.1,0.6169340968132019,0.0,0.6,0.4,"Maintenance, Comfort, Cleanliness, Aesthetics","new (18), lovely (12), clean (9), broken (9), unpleasant (9), pretty (9), noisy (6), safe (6), old (3), tidy (3), cars (3), parking (3)",218,,E01032739
City of London,Waterloo,Transit Station,51.5032466,-0.112293,4.3,0.6412694414456686,0.0,0.5333333333333333,0.4666666666666667,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","beautiful (18), convenient (18), easy (18), clean (18), connected (18), modern (18), safe (12), spacious (9), lively (9), near (9), updated (9), bustling (9), central (9), crowded (9), dirty (9), busy (9), excellent (9), tidy (3), charming (3)",3756,,E01032582
City of London,Cannon Street,Subway Station,51.5110809,-0.0903503,4.2,0.6635313789049785,0.0,0.3333333333333333,0.6666666666666666,"Accessibility, Noise, Cleanliness, Atmosphere, Aesthetics, Traffic, General","pretty (45), easy (27), clean (27), safe (18), central (9), good (9), rubbish (9), crowded (9), spotless (9), great (9), lovely (9), traffic (9), walking (9), wonderful (9), noisy (6), near (3), tidy (3)",99,,E01032739
City of London,Saint Dunstan in the East Church Tower,Transit Station,51.50979100000001,-0.0827674,4.7,0.5520656108856201,0.0,0.5,0.5,"Maintenance, Aesthetics","beautiful (9), old (9)",3,,E01032739
City of London,London Bridge,Transit Station,51.5042625,-0.0848024,4.3,0.7983641584714254,0.0,0.0,1.0,"Accessibility, Safety, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, General","modern (45), safe (21), easy (18), excellent (18), new (18), good (12), lovely (12), fantastic (9), maintained (9), wonderful (9), near (9), spacious (9), accessible (9), welcoming (9), crowded (9), walking (6), old (3), lighting (3), charming (3)",2070,,E01003981
