LSOA_CODE,AvgPrice,MEAN_PTAL_2023,MAX_AI,MIN_AI,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,StreetLen_m,RailLen_m,StationCount,MinStationDist_m,LU_allotments_prop,LU_cemetery_prop,LU_commercial_prop,LU_farm_prop,LU_forest_prop,LU_grass_prop,LU_heath_prop,LU_industrial_prop,LU_meadow_prop,LU_military_prop,LU_nature_reserve_prop,LU_orchard_prop,LU_park_prop,LU_quarry_prop,LU_recreation_ground_prop,LU_residential_prop,LU_retail_prop,LU_scrub_prop
E01000044,Unknown,4,33.66748668061418,3.437635518874717,1571.0,E01000044,0.545,0.0906,2.0,2111.163973239501,4491.227346997674,2.6,308.05697943307285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017945426416233576,0.0,0.0,0.7994645052088737,0.0003107671524432827,0.0
E01033736,Unknown,6a,37.536953726462414,11.85163431310628,2.0,E01033736,0.549,0.048,45.0,754.6120470614815,1120.2366815325997,1.0,144.08022959659343,0.0,0.0,0.0,0.0,0.0,0.0044067800305191305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290778799273601,0.0,0.0
E01000045,Unknown,2,13.0666863349843,3.325828580275447,1511.0,E01000045,0.281,0.247,7.0,2968.319394756294,2682.253253030655,5.0,57.63792082420387,0.0,0.21266623848565336,0.0,0.0,0.0,0.0,0.0,0.09184555818737537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6095259032993632,0.0,0.0
E01033737,Unknown,6a,48.11062829080653,28.262141168354457,1123.0,E01033737,0.514,0.229,1048.0,3065.2824510216615,324.0092054589319,11.0,77.26476569224486,0.0,0.0,0.0,0.0,0.00022960451794654915,0.008625968782602264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4314868482124411,0.16115764817404504,0.0
E01000123,Unknown,2,20.585089237473216,0.0,1558.0,E01000123,0.629,0.13,239.0,2879.9658191172985,965.2828755059621,5.0,158.32537889147238,0.0,0.25165187148086476,0.20863315636015015,0.0,0.1859830265998564,0.0,0.0,0.02421629799096908,0.03290500033471089,0.0,0.0,0.0,0.07793752788952504,0.0,0.0,0.3756568472683374,0.0,0.0
E01033738,Unknown,4,22.955488771160223,5.932064580955505,1347.0,E01033738,0.665,0.09580000000000001,198.0,3276.043472778305,738.1134157680953,6.0,132.1860057227338,0.0,0.0,0.0,0.0,0.0,0.0015647216118886878,0.0,0.03072219461345036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3249809468635804,0.4451574936635514,0.0
E01033739,Unknown,1b,5.60539586896733,0.0,15.0,E01033739,0.5407427185836023,0.14079999999999998,479.2,252.19452389208323,5702.94878655162,6.0,366.7626028185665,0.0,0.0,0.0,0.0,0.05558679216508813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03372321438600994,0.0,0.0,0.16024407451513303,0.0,0.0
E01000001,Unknown,6b,97.66404972828455,43.34468592310935,1615.0,E01000001,0.427,0.312,1505.0,2099.0980490673314,550.0619546991486,8.0,37.20475761882215,0.0,0.0,0.2060945966737656,0.0,0.0,0.0069011778914506525,0.0,0.0,0.0,0.0,0.0,0.0,0.0795799018432835,0.0,0.0,0.0,0.00012135852186786747,0.0
E01033740,Unknown,2,7.014040021841264,4.332083414246957,961.0,E01033740,0.5089433334644807,0.067,417.2,1993.8028851379645,623.045813557316,9.0,43.40846055643891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22467583613089528,0.0,0.0,0.683050795481021,0.0,0.0
E01000002,Unknown,6b,102.1277242621298,44.80267393616006,1493.0,E01000002,0.524,0.188,5819.0,3258.516395281671,1166.530635868771,7.0,195.1768083463368,0.0,0.0,0.3022106084498452,0.0,0.0,0.0030568373544304526,0.0,0.005046229460871358,0.0,0.0,0.0,0.0,0.01633015988128926,0.0,0.0,0.0,0.060741431395631644,0.0
E01033741,Unknown,1b,8.693498819792017,0.0,659.0,E01033741,0.48125235211219014,0.1412,16.8,4369.9018636090705,721.0652868658549,12.0,279.2423042873639,0.0,0.0,0.0,0.0,0.008649431811547526,0.0,0.0,0.2172373683827196,0.0,0.0,0.0,0.0,0.03860399225940183,0.0,0.0,0.28011873221353994,0.025268939237495205,0.0
E01000003,Unknown,6b,66.9894792109165,36.995870454288195,1573.0,E01000003,0.317,0.1442,3.0,578.878565571442,857.0980182540552,2.0,120.9773134998089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0853955197924933,0.0,0.0,0.3620156912480189,0.030147608854789083,0.0
E01033742,Unknown,1b,8.26579774009491,3.117143913444838,416.0,E01033742,0.546931171208241,0.1068,180.0,1024.719764518919,710.9937599138286,2.0,355.85184858297094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11785253980325319,0.0,0.0,0.0,7.346627581704098e-05,0.0,0.0,0.41230285967286917,0.0,0.0
E01000005,Unknown,6b,104.15409574107883,45.504886778089784,1090.0,E01000005,0.675,0.1,1067.0,3449.6176775116587,3758.2485402948996,9.0,51.62544890781877,0.0,0.0,0.3942242825199906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008691999509763128,0.0,0.0,0.2723254761733935,0.0019934259475273292,0.0
E01000006,Unknown,5,33.40090331042069,2.836977462390278,1612.0,E01000006,0.5619950778973775,0.1426,209.6,2332.4825431999625,4542.13708412716,3.4,387.0546387074954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.810994079941388,0.0,0.0
E01033743,Unknown,1b,12.300192903702094,0.0,53.0,E01033743,0.616,0.072,1541.0,3164.218179692176,10292.036229898848,3.0,446.6695917702725,0.0,0.0,0.0,0.0,0.07494259022056048,0.014739338988398668,0.0,0.0,0.0,7.589919245601819e-05,0.0,0.0,0.031648200499192494,0.0,0.0,0.12151447150842627,0.007635601474752922,0.0
E01000007,Unknown,6a,49.24812509810868,23.001195777917324,1535.0,E01000007,0.485,0.283,3438.0,3038.139042638067,4664.348181376,6.0,206.0016230174845,0.0,0.0,0.07700441807406343,0.0,0.0,0.07161338689341963,0.0,0.0,0.0,0.0,0.0,0.0,0.016246392333373015,0.0,0.0,0.3694230912042756,0.02722915870284163,8.197116661282017e-05
E01033744,Unknown,3,26.6231739126018,3.127295765072979,1085.0,E01033744,0.721,0.112,30.0,1249.321988796907,121.70618217981337,4.0,28.382351932476716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9739479707785608,0.0,0.0
E01000008,Unknown,2,26.471128211997343,0.0,1444.0,E01000008,0.5691662876879902,0.1726,1647.4,1477.094499838953,738.174309988609,1.0,205.46338409857754,0.0,0.0,0.0,0.0,0.010544991962610717,0.17906013085755687,0.0,0.34196919518417945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2529493368149212,0.0,0.062165669993399696
