LSOA,Avg_Sentiment_Score,Place_Count,Sentiment_Std,Most_Common_Category,Avg_Rating,Total_Reviews
E01000207,0.72,1,,Very Positive,5.0,9
E01000209,0.548,1,,Neutral,4.8,60
E01000210,0.66,2,0.032,Positive,3.75,126
E01000212,0.511,1,,Neutral,4.8,14
E01000214,0.601,2,0.092,Neutral,4.35,232
E01000219,0.528,1,,Neutral,4.1,83
E01000221,0.697,1,,Positive,4.2,3356
E01000222,0.48,1,,Negative,4.0,2
E01000228,0.284,2,0.402,Neutral,4.55,42
E01000229,0.575,1,,Neutral,4.3,74
E01000233,0.814,1,,Very Positive,5.0,36
E01000238,0.629,1,,Positive,5.0,4
E01000239,0.697,4,0.1,Very Positive,4.3,963
E01000241,0.644,1,,Positive,4.6,483
E01000244,0.601,1,,Positive,4.5,40
E01000245,0.55,1,,Neutral,3.6,468
E01000246,0.718,3,0.224,Very Positive,4.8,49
E01000248,0.597,2,0.108,Neutral,3.85,2177
E01000250,0.611,7,0.038,Neutral,4.243,721
E01000251,0.46,2,0.247,Positive,4.25,11
E01000253,0.651,1,,Positive,4.7,3
E01000254,0.414,3,0.361,Neutral,4.733,450
E01000255,0.573,1,,Neutral,4.3,13
E01000257,0.584,2,0.021,Neutral,3.5,73
E01000258,0.585,2,0.09,Neutral,3.75,24
E01000259,0.727,1,,Very Positive,3.1,97
E01000262,0.633,2,0.067,Neutral,4.35,199
E01000265,0.768,2,0.046,Very Positive,4.55,343
E01000266,0.659,1,,Positive,4.8,78
E01000268,0.509,6,0.27,Positive,4.183,64
E01000270,0.809,1,,Very Positive,4.9,13
E01000271,0.572,1,,Neutral,3.0,2
E01000273,0.631,11,0.242,Positive,3.855,371
E01000274,0.626,3,0.148,Negative,4.933,40
E01000275,0.509,1,,Neutral,4.4,5
E01000276,0.736,2,0.096,Positive,4.8,89
E01000277,0.451,4,0.301,Positive,4.65,284
E01000278,0.601,1,,Positive,4.5,394
E01000279,0.404,3,0.35,Positive,4.467,55
E01000280,0.642,1,,Positive,4.4,62
E01000281,0.651,4,0.155,Neutral,3.65,239
E01000282,0.469,8,0.229,Neutral,4.112,233
E01000283,0.736,1,,Very Positive,5.0,28
E01000284,0.61,3,0.107,Positive,4.6,595
E01000286,0.0,1,,Very Negative,3.3,4
E01000287,0.494,1,,Negative,5.0,2
E01000290,0.524,2,0.14,Negative,4.65,5
E01000292,0.669,3,0.042,Positive,4.367,226
E01000293,0.559,1,,Neutral,4.2,12
