LSOA_CODE,AvgPrice,MEAN_PTAL_2023,MAX_AI,MIN_AI,Population,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Types,LandUse_Area
E01000001,0.562236692037208,-0.6525239193164944,5.809405240040059,3.9910345301458747,0.43538302929946443,-1.4236536196338432,2.3959055504602125,0.05421371403686316,-1.240113408272256,2.0445133747212827,-0.7989864759171189,-0.3338511545364069,0.9664065968652384,0.4389606004819172,0.3001706060984066,0.3001706060984066,-0.5545830226729318
E01000002,0.5948847527451042,-0.6525239193164944,6.139505254473596,4.1523749281871,-0.09048546439561649,-0.5972323357672944,0.6819870126127217,0.5047212801946832,0.21776501519089128,2.184297768098802,-0.9604134914197849,0.5418946391247382,0.5561467478809444,1.1293497376598094,0.8711117952069839,0.8711117952069839,-0.415062722311228
E01000003,-0.2147871528107202,-0.6525239193164944,3.5409432153675415,3.2884770292192425,0.2543463347486989,-2.3608323951526096,-0.16115033261870523,-0.10263894344321235,-0.4670006890620481,1.9047289813437638,-0.8687224737726922,-1.482121597608319,-0.4084659552105215,-1.4020770986591284,-0.27077058301017065,-0.27077058301017065,-0.5816976920131343
E01000005,-0.24090560137703712,-0.6525239193164944,6.289360547321874,4.230081533736991,-1.8275756525851052,0.6892585288084668,-0.5343422723113039,0.008473724705123429,-1.1070290140102559,2.883219734986396,-1.1952695690381163,0.6862395553688216,1.405753364292934,1.9923361591321744,0.3001706060984066,0.3001706060984066,-0.3047678134388962
E01000006,-0.995728764943596,2.6244470369671573,1.056983126995198,-0.4915330549711672,0.42245183683155263,0.11417155292195014,-0.16115033261870523,-0.09491118268853486,1.9885500846763169,-0.6113900994515767,-0.9417927190103991,-0.15756837471863663,0.9131857670109392,-0.5390906771867633,-1.4126529612273253,-1.4126529612273253,-0.33116005032678614
E01000007,-0.8155114698360093,-0.6525239193164944,2.228925234597936,1.7398316614026301,0.09055123015514908,-0.9295048107239482,1.9950697633829761,0.2560753564529657,0.31766410287364133,1.485375801211207,-1.0701001412196605,0.37543656967468253,0.7545734135199125,1.014284881463494,1.4420529843155612,1.4420529843155612,-0.34903797821005367
E01000008,-0.24090560137703712,-0.6525239193164944,0.5445087423450876,-0.805471900091228,-0.30169494137150965,0.11417155292195014,-0.16115033261870523,-0.09491118268853486,0.3126968513699621,-1.1705276729616525,-0.5121686638413532,-0.8036703476323512,-1.0552670244893823,-0.7116879614812364,0.8711117952069839,0.8711117952069839,-0.15202124881078777
E01000009,-1.011399834083386,-0.6525239193164944,1.7401836204497987,2.8001259711471636,0.20262156487705157,0.38254547500232483,-0.16115033261870523,-0.005519788012806078,-0.5477497047761569,0.9262382277011314,-0.8659851669280677,-0.17984272011208555,1.3627694054226718,0.4964930285800749,-0.27077058301017065,-0.27077058301017065,-0.3798124335876601
E01000010,-1.1184854732052856,-0.6525239193164944,-0.27549671936702613,-0.3143070560194617,-0.2672117614570781,-0.04344487750620568,0.004712751689116585,0.3920421740555345,-0.466386411180916,1.3455914078336881,-0.6065037628930906,1.2523654436153382,0.050713947919129754,1.934803731034017,0.8711117952069839,0.8711117952069839,-0.1052020632818459
E01000011,-0.24090560137703712,-0.6525239193164944,1.271311249027163,2.262240031158632,-0.3060053388608136,-5.06161123005669,-0.16115033261870523,-0.10263894344321235,-0.4578535933184502,1.0660226210786503,-0.9641202236057561,-0.7841076397531546,1.0180868283117759,-1.1144149581683402,-0.27077058301017065,-0.27077058301017065,-0.41735045301977497
