Unnamed: 0,AvgPrice,MeanPTAL,MedianPTAL,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Area
count,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0
mean,3.0114123151519403e-17,3.613694778182328e-17,4.818259704243104e-17,5.149515058909818e-16,-3.613694778182328e-17,7.325260456607094e-16,3.312553546667134e-17,6.02282463030388e-18,2.1079886206063579e-16,-6.022824630303881e-17,-4.818259704243104e-17,1.806847389091164e-16,6.022824630303881e-17,7.52853078787985e-18,1.445477911272931e-16,4.215977241212716e-17
std,1.0001059714939655,1.0001059714939655,1.0001059714939655,1.0001059714939655,1.0001059714939655,1.0001059714939655,1.0001059714939655,1.0001059714939655,1.0001059714939655,1.0001059714939655,1.0001059714939655,1.0001059714939655,1.0001059714939655,1.0001059714939655,1.0001059714939655,1.0001059714939655
min,-1.1522105180554905,-1.1358057963546928,-1.141877192247203,-6.525908915926402,-0.6939728744128625,-4.580051945362049,-1.6200512625466104,-0.1541953820739454,-1.5510743725649154,-2.009234033226766,-1.2435906816836562,-1.919367109976698,-2.5271520329750095,-2.034933807738863,-1.9835941503359025,-0.6596513734920619
25%,-0.5124577838110803,-0.6406865922796596,-0.6386677631107187,-0.2499701714998623,-0.3958224482616944,-0.342380281744681,-0.7086264255185988,-0.1502328913351113,-0.7001013133297498,-0.7511744928290957,-0.6965831701544427,-0.5772422587495211,-0.6859315485885075,-0.596623105284921,-0.8417117721187479,-0.3708117378413643
50%,-0.2506865794862264,-0.2932271567739171,-0.2912109493058998,0.0603784477300214,-0.2217015082168601,0.1265818486024788,-0.1754072433023706,-0.1380550144174304,-0.1655972314094183,-0.0522525259415011,-0.2548129097188933,-0.1415846457601914,-0.0648607078437254,-0.1363636804996595,-0.2707705830101706,-0.2017018957020683
75%,0.1596056945870879,0.318430020413456,0.3176439029617152,0.3577958744919935,0.0582270100111248,0.5221086461667171,0.4945759026797058,-0.0916722629131377,0.455585389253852,0.6466694409460935,0.4091434756654881,0.3921599007524758,0.633129387957041,0.3814281723837595,0.3001706060984066,0.0662784161888227
max,15.449049828145416,7.594860927619971,7.43987341788533,19.37957999479029,24.786441178607447,3.1044905406521353,4.689433498646594,41.85870705002499,8.275955466408268,6.098260782669332,8.730736828280094,19.62264902219189,4.731996085877068,26.1559559603584,4.867700118967025,22.262817262914805
