Station,latitude,longitude,address
Brockley,51.4578328,-0.0360868,"Brockley, London Borough of Lewisham, Greater London, England, SE4 2BE, United Kingdom"
Bromley-by-Bow,51.5246287,-0.0123189,"Bromley-by-Bow, Blackwall Tunnel Northern Approach, Bromley-by-Bow, Bow, London Borough of Tower Hamlets, Greater London, England, E3 3JJ, United Kingdom"
Brondesbury,51.5422783,-0.2125629,"Brondesbury, London Borough of Brent, Greater London, England, NW6 7BP, United Kingdom"
Brondesbury Park,51.5405138,-0.2103359,"Brondesbury Park, Brondesbury, London Borough of Brent, Greater London, England, NW6 7YE, United Kingdom"
Bruce Grove,51.5937114,-0.0700054,"Bruce Grove, Moorefield Road, Tottenham Hale, West Green, London Borough of Haringey, Greater London, England, N17 6QY, United Kingdom"
Buckhurst Hill,51.6247049,0.0312771,"High Road, Buckhurst Hill, London Borough of Redbridge, Epping Forest, Essex, England, IG9 5HP, United Kingdom"
Burnham Bucks,,,
Burnt Oak,51.6028082,-0.2640125,"Burnt Oak, Park Croft, Burnt Oak, Colindale, London Borough of Barnet, Greater London, England, HA8 0EJ, United Kingdom"
Bush Hill Park,51.641707,-0.0693944,"Bush Hill Park, Queen Anne's Place, Bush Hill Park, Southbury, London Borough of Enfield, Greater London, England, EN1 2RQ, United Kingdom"
Bushey,51.316926,-0.0856417,"Bushey Close, Kenley, London Borough of Croydon, Greater London, England, CR8 5AU, United Kingdom"
Caledonian Road,51.548482,-0.1183585,"Caledonian Road, Holloway, London Borough of Islington, Greater London, England, N7 8TD, United Kingdom"
Caledonian Road & Barnsbury,51.5435462,-0.1148864,"Caledonian Road & Barnsbury, Caledonian Road, Barnsbury, London Borough of Islington, Greater London, England, N1 1DF, United Kingdom"
Cambridge Heath,51.5319544,-0.0574215,"Cambridge Heath, Hackney Road, Bethnal Green, London Borough of Tower Hamlets, Greater London, England, E2 9EG, United Kingdom"
Camden Road,51.5419498,-0.1395276,"Camden Road, Kentish Town, London Borough of Camden, Greater London, England, NW1 9LS, United Kingdom"
Camden Town,51.5392533,-0.142757,"Camden Town, Greater London, England, NW1 8QL, United Kingdom"
Canada Water,51.4979299,-0.0498405,"Canada Water, Albatross Way, Canada Water, Rotherhithe, London Borough of Southwark, Greater London, England, SE16 7EA, United Kingdom"
Canary Wharf,51.5048954,-0.0190006,"Canary Wharf, London Borough of Tower Hamlets, Greater London, England, E14 5AB, United Kingdom"
Canary Wharf DLR,51.5051753,-0.0209283,"Canary Wharf DLR, South Colonnade, Canary Wharf, London Borough of Tower Hamlets, Greater London, England, E14 4QS, United Kingdom"
Canary Wharf EL,,,
Canning Town,51.5139887,0.0082987,"Canning Town, Silvertown Way, Canning Town, London Borough of Newham, Greater London, England, E16 1ED, United Kingdom"
Cannon Street,51.5113812,-0.0903632,"Cannon Street, Leadenhall Market, Bank, City of London, Greater London, England, EC4N 5AG, United Kingdom"
Cannon Street ,51.5113812,-0.0903632,"Cannon Street, Leadenhall Market, Bank, City of London, Greater London, England, EC4N 5AG, United Kingdom"
Canonbury,51.5435168,-0.1004036,"Canonbury, Highbury, London Borough of Islington, Greater London, England, N1 2AN, United Kingdom"
Canons Park,51.6080065,-0.2947453,"Canons Park, Donnefield Avenue, Canons Park, Stanmore, London Borough of Harrow, Greater London, England, HA8 6RJ, United Kingdom"
Carpenders Park,,,
Chadwell Heath,51.5700474,0.1297842,"Chadwell Heath, London Borough of Redbridge, Greater London, England, RM6 4AD, United Kingdom"
Chalfont & Latimer,,,
Chalk Farm,51.5441141,-0.1534811,"Chalk Farm, Haverstock Hill, Steele's Village, Primrose Hill, Chalk Farm, London Borough of Camden, Greater London, England, NW3 2DT, United Kingdom"
Chancery Lane,51.5181738,-0.1117642,"Chancery Lane, High Holborn, Hatton Garden, Holborn, London Borough of Camden, Greater London, England, WC1V 7QD, United Kingdom"
Charing Cross,51.5074975,-0.1236888,"Charing Cross, Strand, Covent Garden, Victoria, City of Westminster, Greater London, England, WC2N 5HS, United Kingdom"
Chesham,51.5476082,-0.0501085,"Chesham Arms, 15, Mehetabel Road, Hackney, London Borough of Hackney, Greater London, England, E9 6DU, United Kingdom"
Cheshunt,51.482291,0.1470511,"Cheshunt Place, 2, Cheshunt Road, Lessness Heath, London Borough of Bexley, Greater London, England, DA17 5JB, United Kingdom"
Chigwell,51.5983169,0.0372075,"Chigwell Road allotments, Woodford, London Borough of Redbridge, Greater London, England, United Kingdom"
Chingford,51.630887,0.0039962,"Chingford, London Borough of Waltham Forest, Greater London, England, E4 7BN, United Kingdom"
Chiswick Park,51.4944941,-0.2676885,"Chiswick Park, Bollo Lane, London Borough of Ealing, Greater London, England, W4 5NE, United Kingdom"
Chorleywood,51.4049805,0.0984475,"Chorleywood Crescent, Mickleham Road, Scadbury, St Paul's Cray, London Borough of Bromley, Greater London, England, BR5 2RJ, United Kingdom"
Clapham Common,51.4583791,-0.1489575,"Clapham Common, Clapham Junction, City of London, Greater London, England, SW4 9DE, United Kingdom"
Clapham High Street,51.4654853,-0.1323141,"Clapham High Street, Old Station Way, Clapham, London Borough of Lambeth, Greater London, England, SW4 6DA, United Kingdom"
Clapham Junction,51.4644589,-0.1705184,"Clapham Junction, Grant Road, York Road Estate, Clapham Junction, London Borough of Wandsworth, Greater London, England, SW11 2NU, United Kingdom"
Clapham North,51.4653034,-0.1296388,"Clapham North, Bedford Road, Stockwell, London Borough of Lambeth, Greater London, England, SW4 7TS, United Kingdom"
Clapham South,51.4528372,-0.1475523,"Clapham South, Balham Hill, Balham, London Borough of Wandsworth, Greater London, England, SW12 9DX, United Kingdom"
Clapton,51.558602,-0.0558777,"Clapton, London Borough of Hackney, Greater London, England, E5 9NP, United Kingdom"
Cockfosters,51.651366,-0.1485149,"Cockfosters, Cockfosters Road, Cockfosters, London Borough of Enfield, Greater London, England, EN4 9EB, United Kingdom"
Colindale,51.5954091,-0.2499296,"Colindale, Colindale Avenue, Colindale, London Borough of Barnet, Greater London, England, NW9 4AY, United Kingdom"
Colliers Wood,51.4182747,-0.1778626,"Colliers Wood, High Street, Collier's Wood, London Borough of Merton, Greater London, England, SW19 2BN, United Kingdom"
Covent Garden,51.5128732,-0.1225639,"Royal Opera House, Bow Street, Covent Garden, City of Westminster, Greater London, England, WC2E 9DD, United Kingdom"
Crossharbour,51.4959022,-0.0144418,"Crossharbour, Pepper Street, St John's Estate, Millwall, Isle of Dogs, London Borough of Tower Hamlets, Greater London, England, E14 9DZ, United Kingdom"
Crouch Hill,51.571431,-0.1168739,"Crouch Hill, Finsbury Park, London Borough of Islington, Greater London, England, N4 4AP, United Kingdom"
Croxley,51.529544,-0.2000379,"Croxley Road, Kensal Town, Maida Hill, City of Westminster, Greater London, England, W9 3HH, United Kingdom"
Crystal Palace,51.4193664,-0.0711328,"Crystal Palace, London Borough of Bromley, Greater London, England, SE19 2GA, United Kingdom"
Custom House DLR,,,
Custom House EL,,,
Cutty Sark,51.482933,-0.0096145,"Cutty Sark, 43, King William Walk, Greenwich Town Centre, East Greenwich, Royal Borough of Greenwich, Greater London, England, SE10 9HT, United Kingdom"
Cyprus,51.5084776,0.0639692,"Cyprus, University Roads, Cyprus, London Borough of Newham, Greater London, England, E16 2RD, United Kingdom"
Dagenham East,51.544018,0.1649496,"Dagenham East, Rainham Road South, Dagenham, London Borough of Barking and Dagenham, Greater London, England, RM10 8AH, United Kingdom"
Dagenham Heathway,51.5415534,0.1456377,"Dagenham Heathway, Heathway, Dagenham, London Borough of Barking and Dagenham, Greater London, England, RM9 5AN, United Kingdom"
