LSOA_CODE,AvgPrice,MeanPTAL,MedianPTAL,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Area
E01003902,690000.0,6.230825055727743,6.263260855726575,1277.0,0.1619747694744404,0.3190079064064475,0.1639999999999999,9.033339664391352,155.36803813640898,16,973.7527979847808,2237.9260817286613,0.0138164505880778,31,5,148311.89745235376
E01003903,672500.0,5.01494715783219,5.307320874847465,1555.0,0.6796010025010697,0.4139173971971823,0.15,116.65604603984208,112.25136706785686,11,1190.4136938714148,3967.9997861712654,0.0058387151463186,35,5,217028.12255036473
E01003904,695000.0,5.167760140553404,4.644612076053391,1439.0,0.2417731862168848,0.708,0.178,26.0,142.1234772767156,14,350.9795430195347,1757.497030160539,0.0072692188514505,26,3,197170.040277615
E01003905,605000.0,6.183888627611572,5.469871500611374,1344.0,0.3654916782552416,0.651,0.135,96.0,221.93742263244525,11,837.7333662615118,2201.36137683582,0.0060230069148295,31,4,279234.61057291535
E01003906,454000.0,8.496824195499073,8.724293566572165,1504.0,0.2081607795222932,0.661,0.0460822496539374,10.0,93.63665587369726,14,664.061726260261,2470.636280302994,0.0118609495662813,30,2,177448.2984400438
E01003907,520000.0,2.600476051604107,2.825495554224773,1482.0,0.238526761227551,0.687,0.2144960473894729,22.0,106.09912037745364,4,314.1032740446549,2566.01866527129,0.0107577205278502,34,1,169708.9022960757
E01003908,545000.0,6.044866269968006,6.183577283936025,1756.0,0.2919778694720569,0.71,0.04,67.0,184.17619272551744,13,561.9254303112539,2660.20873356092,0.0091131510830341,36,2,244045.10663709787
E01003909,800750.0,8.234214739909506,8.403907618019954,1521.0,0.2222824796905203,0.341,0.483,64.0,148.42888664394962,16,192.161854077096,3311.450753988775,0.0149019388998907,37,3,202422.23241076205
E01003910,625000.0,4.004745289171119,4.404305913080885,1526.0,0.2963985768462756,0.614,0.034,51.0,128.7626332434438,13,397.4098451389606,3668.223755376306,0.0123761360031867,37,2,235099.046802666
E01003911,567500.0,17.80531469083039,16.90308395691093,1709.0,0.1122444754143334,0.5533891981096067,0.0452351987538276,267.5891923268404,39.67790731775668,7,516.477434705149,1361.517637824839,0.0121257518349153,21,4,103018.82599019038
E01003912,422326.8430064303,12.09194943511069,12.096513877423392,1659.0,0.0816029675149803,0.6280742996820056,0.0409848753902276,203.55581579781855,136.0042914395571,11,683.0238838714454,734.7900467519581,0.0089810481774457,17,4,79529.45657467496
E01003913,500000.0,25.412558679007834,26.419261072500714,1512.0,0.2353187665014794,0.682,0.087,259.0,227.86095360948136,27,289.6790714384044,2496.1652119274927,0.0106076446215664,21,2,139522.4052438165
E01003914,887500.0,13.127480466891804,13.978233859494338,1568.0,0.1456598996691141,0.658,0.157,85.0,228.7900827718715,6,314.095459877142,2350.7491076445726,0.0161386472938625,33,5,128526.76938471524
E01003915,424050.0,15.192869000622183,14.745993047625136,1766.0,0.0973339092452434,0.5891903195256765,0.0484596898502981,247.98765249983197,292.8788778859276,8,208.06016266723208,1296.8067516396336,0.0133231295027978,23,3,91247.76266563372
E01003916,465000.0,8.679115639634354,7.69250260670877,1573.0,0.1510575335733952,0.582663294630043,0.127685784239779,59.20516870984043,108.0483161373913,7,821.572246518212,2679.638457024743,0.017764245944878,46,3,147970.07071586984
E01003917,440000.0,14.169057615841163,10.823171500320615,1828.0,0.1115227745157291,0.5399573779918887,0.1274318098090129,141.01034703131748,274.383369622126,11,781.0250517924075,1490.1410013626037,0.0133665273780648,28,2,121538.18621851323
E01003918,390000.0,20.01749744459285,21.75057708012049,1549.0,0.0867763892977458,0.608,0.041,533.0,296.5614507169053,24,614.1722519038983,1025.4832336663658,0.011817136092755,23,1,77495.20169562999
E01003919,625000.0,20.26259183347224,20.578586881793203,1375.0,0.1497788179235463,0.6440899379891837,0.1444568024480119,1143.6625601304454,44.98464866346619,22,447.916596185963,2362.8274029270015,0.0157757515504069,44,3,92341.33503657355
E01003920,345205.0,22.86318711932129,21.942767432206683,1542.0,0.0868849402312572,0.6495693080448016,0.1855569096057516,176.8944484115344,75.37214172540291,24,364.9316136010092,838.3505086198128,0.0096492626233016,17,3,72681.56837121972
E01003921,425000.0,29.15626009066344,28.381480965645615,1224.0,0.1193287279262102,0.226,0.1087912256576363,1.0,8.795131980761818,25,599.0452151574673,1534.9365009624842,0.0128630010106466,35,4,77277.12271782116
E01003922,392500.0,24.907762262901564,25.223714709379895,1547.0,0.1387690562955999,0.7152304290251038,0.1459362876428243,118.35273821555096,161.33122158013177,26,319.91598246987485,2202.8608665244155,0.0158741936420595,27,3,87756.03932653088
E01003923,420000.0,17.35263885920074,16.525080756556424,1631.0,0.1185945568047477,0.591,0.2083356331345572,81.0,195.13742499981564,20,163.43154886337848,2060.3392987084076,0.017373094532285,29,4,89777.71400692708
E01003924,250000.0,20.095536672148327,19.036746767748575,1550.0,0.0795141409959047,0.5562165401124819,0.1644126397330338,1170.3041944213342,162.70490271006878,22,171.61908391014947,1000.413678054076,0.012581415629122,17,2,67116.53814047328
