LSOA_CODE,Education_HighLevel_pct,MeanPTAL,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Area
E01002313,-1.7283515984303996,-0.8138157440381817,-0.19824540162821502,0.26973230838193696,0.3511143591853111,-0.05223603680063402,-0.13746676171998726,-1.0491763956834457,-0.4716057060740579,3.6522620205844545,0.5275012470909719,-0.7465294044384527,0.2663633161874442,-0.27077058301017065,0.4052116388308504
E01002314,-1.6322744603316575,-0.5608852541009047,-0.1335894392886559,-0.2570750681562677,1.5002836061990725,0.5501574220919921,-0.15171882536217413,-0.019745915952766282,-0.3318213126965389,2.5173703701112204,-0.3490801622684486,-0.14000581850854082,0.15129845999112881,-0.27077058301017065,-0.18392802719364293
E01002315,-1.5705105858396087,-0.6898402485725339,-0.14221023426726379,-0.1790016579041834,0.9055532304994,-0.2700551141409316,-0.15409631980547456,-0.5549163637776324,-0.19203691931902,2.22917115756049,-0.25518299547941925,-0.3488076267646881,-0.48155824908860567,-1.4126529612273253,-0.19718514744593052
E01002316,-1.6734503766596898,-0.7129089319415174,-0.10772705435283225,-0.10926930282139997,1.2889978148320835,-0.7453141957666389,-0.1534028839261786,0.6235639551609976,-0.0522525259415011,1.5008454414713548,-0.6237998201041067,-1.0185360598493474,-0.30896096479413265,-0.27077058301017065,0.0005523759946073534
E01002317,-1.0214983681325096,-0.8039931249538499,-0.17669341418169532,0.2228702410249379,0.11518786279325686,-1.4294963536515137,-0.09881957399873945,-0.21023411577605008,-0.4716057060740579,-0.5101326676414044,0.06801895630273876,-1.0102780123839157,-0.7116879614812364,-0.27077058301017065,0.2900904628258245
E01002318,-1.2411032552153494,-0.6761817646450309,0.18106957743053187,0.026454412866854814,-0.770266336205507,0.92165990314172,-0.14589509102281084,-1.1435970189808464,-0.8909588862066147,-0.22475757719799638,0.17653553465469815,-0.5185416388552434,-1.0568825300701825,-0.27077058301017065,0.05848409379505512
E01002319,-1.247965907936688,-0.6128818666362038,0.09055123015514908,0.22974519192449455,0.4199430006272291,-0.653909136879697,-0.11221481812165945,-0.9853852216356492,-0.6113900994515767,1.1575702285898977,0.820034995201543,-0.4514552215040441,1.014284881463494,1.4420529843155612,0.27949886572382104
E01002320,-1.2136526443299944,-0.8049155012464858,-0.24565977401055838,-0.21766225409060205,-0.3856377167433087,-0.6566903342436211,-0.14409103068991858,1.1989256643113073,-1.4500964597166903,0.36928888373990754,0.11412622922402615,0.33119002798655567,-0.30896096479413265,-0.8417117721187479,-0.12554263850225084
E01002321,-1.0626742844605421,-0.7041978766753033,0.32331269457756195,0.4266567056812411,1.2420454167505304,-0.0109209207657931,-0.1528085103153535,0.08612251436910989,-1.3103120663391714,0.6880336482678917,0.959745444507159,-0.7137679353741924,0.4389606004819172,0.3001706060984066,0.23535198118292
E01002322,-1.3577683514781078,-0.9395433450418569,0.6724548912111813,0.35645086656331176,-0.6203997071510742,0.05131282812398501,-0.15419538207394543,-0.5273447840951818,-1.3103120663391714,0.6997043616561998,0.29513026881117504,-1.0429875871785024,-0.5390906771867633,-0.27077058301017065,0.36346975697666867
E01002323,-1.3714936569207854,-0.748790916040703,0.4569350167459842,0.015831288861529763,-0.1430503266552852,-0.8935626002933259,-0.1530066348522952,-0.9259694926212325,-0.7511744928290957,1.5651194910964858,0.006593165055442508,-0.6552975307565975,-0.9418176738738671,0.3001706060984066,0.03699407939955529
E01002324,-1.50874671134756,-1.0579646305820685,0.08624083266584515,0.4709921411926508,0.3499498532010224,-1.217768677101406,-0.15330382165770776,3.9980683124990213,-2.009234033226766,1.1154546053574084,-0.4519387298337778,-1.6366355889615474,-0.6541555333830787,-0.27077058301017065,0.3675974597871927
E01002325,-1.7077636402663834,-0.8891277125413701,0.5000389916390235,1.206647748080152,1.0307596253835416,0.6242621088845295,-0.15161976309370329,-0.1239632890466312,-1.1705276729616525,3.4794399101136335,0.315491821023429,-1.6832356429994038,-0.021298824303344233,2.0129941734241386,1.292778972471029
E01002326,-1.5430599749542537,-0.40210925623806426,-0.20255579911751898,-0.03137208916568914,-0.6360505065115919,1.7252460269450889,-0.1389397927294343,-0.19894358685646646,0.36710065419105564,4.561551298428207,0.6472213818758331,0.13356970139129343,1.0718173095616517,0.3001706060984066,0.06180715967745221
E01002327,-1.4195322259701564,-0.5187528594869023,-0.12496864431004802,-0.018493761015385236,0.7255690378534472,-1.3342188992039654,-0.11892921449832229,-0.3230647287043168,-1.1705276729616525,3.732618110400857,-0.5652865575512405,-1.1487033873126495,-0.2514285366959749,-0.8417117721187479,0.23851767195137105
E01002328,-1.3097297824287368,-0.3995274584547895,0.6638340962325734,-0.005400520806436407,0.7255690378534472,1.1756837125977968,-0.15102538948287816,-0.043551464021840236,-0.3318213126965389,2.4636905661746256,0.5704194350452659,-0.037432722007231675,0.09376603189297113,-0.8417117721187479,0.11121596005251216
