,Education_HighLevel_pct,MeanPTAL,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Area
count,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0
mean,-2.1682168669093965e-16,3.613694778182328e-17,5.149515058909817e-16,-3.613694778182328e-17,7.325260456607094e-16,3.312553546667134e-17,6.02282463030388e-18,1.204564926060776e-16,-6.02282463030388e-17,2.409129852121552e-17,1.806847389091164e-16,6.02282463030388e-17,7.52853078787985e-18,1.445477911272931e-16,7.829672019395044e-17
std,1.0001059714939664,1.000105971493965,1.0001059714939655,1.0001059714939653,1.0001059714939677,1.0001059714939646,1.0001059714939662,1.000105971493966,1.0001059714939653,1.0001059714939646,1.0001059714939649,1.000105971493966,1.0001059714939677,1.0001059714939562,1.000105971493964
min,-1.8861926110211906,-1.1358057963546928,-6.525908915926402,-0.6939728744128625,-4.580051945362049,-1.6200512625466104,-0.15419538207394543,-1.5510743725622924,-2.009234033226766,-1.2435906816843254,-1.919367109976698,-2.5271520329750095,-2.034933807738863,-1.9835941503359025,-0.6596513734920688
25%,-0.7950308283283316,-0.6406865922796596,-0.24997017149986234,-0.39582244826169444,-0.34238028174468105,-0.7086264255185988,-0.15023289133511136,-0.7001013133306306,-0.7511744928290957,-0.6965831701541019,-0.5772422587495211,-0.6859315485885075,-0.596623105284921,-0.8417117721187479,-0.3708117378414173
50%,-0.19111738885052243,-0.2932271567739171,0.060378447730021496,-0.2217015082168601,0.12658184860247884,-0.17540724330237062,-0.13805501441743045,-0.16559723140979465,-0.0522525259415011,-0.2548129097190753,-0.14158464576019142,-0.06486070784372545,-0.13636368049965958,-0.27077058301017065,-0.20170189570225178
75%,0.7010274649235133,0.318430020413456,0.3577958744919935,0.05822701001112483,0.5221086461667171,0.49457590267970586,-0.09167226291313771,0.4555853892534075,0.6466694409460935,0.4091434756650728,0.39215990075247587,0.633129387957041,0.38142817238375953,0.3001706060984066,0.06627841618846309
max,3.178445097326797,7.594860927619971,19.37957999479029,24.786441178607447,3.1044905406521353,4.689433498646594,41.85870705002499,8.27595546640769,6.098260782669332,8.730736828280444,19.62264902219189,4.731996085877068,26.1559559603584,4.867700118967025,22.262817262913565
