Feature,Communality_95pct
SentimentSD,1.0001776968866125
Population,1.0001571686146125
MeanSentiment,1.000142248388049
NearestRail_m,0.9993294933822502
Education_HighLevel_pct,0.9985362712019086
LandUse_Diversity,0.9977450057372547
ReviewCount,0.997462571369268
StreetDensity_m_per_m2,0.9963587317170464
NearestStation_m,0.9858344482712119
LandUse_Area,0.9670521621930992
Area_km2,0.9655985424222946
StreetSegments,0.9614539873104768
StreetLength_m,0.9503506006925511
StationsWithin500m,0.8770167746535041
MeanPTAL,0.874805840430499
