,AvgPrice,MEAN_PTAL_2023,MAX_AI,MIN_AI,Population,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Types,LandUse_Area
count,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0
mean,1.1443366797577372e-16,1.6261626501820474e-16,-4.818259704243104e-17,-7.227389556364656e-17,5.149515058909817e-16,-8.842259410364883e-16,3.199625584848936e-17,3.01141231515194e-18,1.204564926060776e-16,-6.02282463030388e-17,2.409129852121552e-17,1.806847389091164e-16,6.02282463030388e-17,7.52853078787985e-18,1.445477911272931e-16,1.445477911272931e-16,7.829672019395044e-17
std,1.0001059714939657,1.000105971493988,1.0001059714939642,1.000105971493972,1.0001059714939655,1.0001059714939786,1.0001059714939797,1.000105971493966,1.000105971493966,1.0001059714939653,1.0001059714939646,1.0001059714939649,1.000105971493966,1.0001059714939677,1.0001059714939562,1.0001059714939562,1.000105971493964
min,-1.1615809133397084,-0.6525239193164944,-1.237973636994941,-0.805471900091228,-6.525908915926402,-5.06161123005669,-1.9165346415431515,-0.10284780184198743,-1.5510743725622924,-2.009234033226766,-1.2435906816843254,-1.919367109976698,-2.5271520329750095,-2.034933807738863,-1.9835941503359025,-1.9835941503359025,-0.6596513734920688
25%,-0.4890308627570478,-0.6525239193164944,-0.6293150210593934,-0.5910747276001622,-0.24997017149986234,-0.01788545635569385,-0.16115033261870523,-0.096895337476898,-0.7001013133306306,-0.7511744928290957,-0.6965831701541019,-0.5772422587495211,-0.6859315485885075,-0.596623105284921,-0.8417117721187479,-0.8417117721187479,-0.3708117378414173
50%,-0.24090560137703712,-0.6525239193164944,-0.27549671936702613,-0.3143070560194617,0.060378447730021496,0.11417155292195014,-0.16115033261870523,-0.09491118268853486,-0.16559723140979465,-0.0522525259415011,-0.2548129097190753,-0.14158464576019142,-0.06486070784372545,-0.13636368049965958,-0.27077058301017065,-0.27077058301017065,-0.20170189570225178
75%,0.13715894162040027,0.4397997327780561,0.3029576569744904,0.2557226197787054,0.3577958744919935,0.23770875514942447,-0.16115033261870523,-0.0915694483081338,0.4555853892534075,0.6466694409460935,0.4091434756650728,0.39215990075247587,0.633129387957041,0.38142817238375953,0.3001706060984066,0.3001706060984066,0.06627841618846309
max,15.61299267837733,2.6244470369671573,10.08857062726696,8.864788613822558,19.37957999479029,3.3048392932108412,6.321331879078659,44.18620223360735,8.27595546640769,6.098260782669332,8.730736828280444,19.62264902219189,4.731996085877068,26.1559559603584,4.867700118967025,4.867700118967025,22.262817262913565
