LSOA_CODE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
E01000001,-3.581579957456072,4.230220048675301,-2.2762301683879693,-1.1516585391322074,-0.1682238387008599,-0.3032043348464721,1.338506596211422,1.6951139426714388,-0.8225163994723736,0.5526810057142175,1.2651668324116974,-0.8147273946323191,2.2572388353962256,0.35820925870545517,-0.19014729889774576
E01000002,-2.684975542817221,5.330949620226216,-0.9131068802571572,-2.273403445543041,0.15065938103223417,-0.047587093940862975,1.2190689097215024,1.3765381633163074,-1.360607031259276,-0.5199544768850264,1.8959303354525119,-1.3184328604911777,2.383841734813942,0.6417401940986142,-0.38621400033246145
E01000003,-3.235143665223854,1.0776866374329892,-1.8820986353679106,-1.3731305757004095,-0.6096248556408344,0.7662878348459139,1.4642110328457465,1.1406224666442804,-2.1685968557502133,0.20200223962690944,0.2647794749410437,-1.0717045499500066,1.1378669184018713,0.33001178605911,-0.21809672932017737
E01000005,-3.0850094625433218,5.26835470732507,0.5639746381493821,-1.0588309694600375,-1.9338321202239457,-1.2453470692853124,-0.14825473752814478,0.9312502417764529,-1.2293905658932645,-2.7303294850974513,0.579463686221754,-0.5645564825739995,2.304550411395422,0.15749706307293296,-0.35918753524988023
E01000006,-0.9025399058188078,-0.40347662831359465,-0.02751229887122821,-0.09073537551125106,2.29505867262218,0.3730142600655961,0.31001492227588384,-0.056080531151001096,-0.8060667779484811,-1.5134661945103431,-0.24958006882042552,0.020375622378295467,0.59327717829236,0.39299861016622445,-0.18479296992040176
E01000007,-0.8095728474367971,2.312798395167583,-1.5852337574550595,0.1438712906654052,-0.5301939227615518,0.44429633332917606,0.6608363119799153,0.13932174406012354,0.18414841752769326,-1.5637102145875315,1.0649496723679488,0.1419501838709377,-0.13073584427679139,0.053422091580723974,0.002659672534806921
E01000008,0.5496214451840125,-1.6246440117897576,-0.1827056095152406,-0.5999018303713907,-0.666593064383849,1.095140045213162,0.376777399292267,-0.8717232245035115,-0.17699787735052977,-0.4737169490914562,0.04473526152732433,0.2962290247380704,0.4978442107329728,-0.2175716507534792,0.0355501149672555
E01000009,-1.993899784117502,1.753543300784982,0.7190409513363384,0.22548112161665163,-0.14066066821535528,-0.2211762637204395,0.4806435414348002,0.19988275694396215,-0.4799397906351094,-0.9053842873789599,-0.01742817084470991,0.3284861544586328,0.8613789871967855,-0.030825168705125243,-0.03992689414749417
E01000010,0.2895433527302971,2.4751003364894593,0.05490662654976819,-0.0010581749182954033,-0.7030522281205382,-0.2728083557329,-0.09855717992391234,-0.8964258812585286,0.4335147529759067,-0.13159007000907713,0.21669772046452682,-0.5292859120555843,-0.8809666420718729,-0.20755626191195312,0.1471382475922568
E01000011,-2.2938612643796112,0.21909231311098187,-2.583578379442171,0.15925402060497765,-0.6251793168446804,0.5688578481543805,0.7197065643696299,-1.3985809984155102,-3.8160421968956673,-0.4470159534075302,-0.5272293849077888,0.5721002253952217,0.31196553056858173,0.41698152337239464,-0.193241193728883
