PC,Feature,Loading,AbsLoading
PC1,Area_km2,0.868849993261433,0.868849993261433
PC1,LandUse_Area,0.8417020053020624,0.8417020053020624
PC1,StreetLength_m,0.6905496597098929,0.6905496597098929
PC1,StreetDensity_m_per_m2,-0.6268557426636844,0.6268557426636844
PC1,StationsWithin500m,-0.6054558429627829,0.6054558429627829
PC1,LandUse_Diversity,0.5471033410369075,0.5471033410369075
PC1,MeanPTAL,-0.5233143583647637,0.5233143583647637
PC1,NearestRail_m,0.4770291957869221,0.4770291957869221
PC1,NearestStation_m,0.4732694384458393,0.4732694384458393
PC1,StreetSegments,0.36412692873142516,0.36412692873142516
PC10,Education_HighLevel_pct,0.5195729773660659,0.5195729773660659
PC10,NearestStation_m,-0.39403124293451336,0.39403124293451336
PC10,NearestRail_m,0.25533511825058874,0.25533511825058874
PC10,Population,0.20111703828832503,0.20111703828832503
PC10,MeanPTAL,-0.1870226258133496,0.1870226258133496
PC10,ReviewCount,0.11464602304943718,0.11464602304943718
PC10,StationsWithin500m,-0.10393979519580968,0.10393979519580968
PC10,StreetSegments,-0.0949008912094656,0.0949008912094656
PC10,MeanSentiment,-0.08400403234295269,0.08400403234295269
PC10,StreetDensity_m_per_m2,-0.06936168022340865,0.06936168022340865
PC11,LandUse_Diversity,0.4360777117750576,0.4360777117750576
PC11,NearestRail_m,0.3845819581207505,0.3845819581207505
PC11,NearestStation_m,0.26161773662194343,0.26161773662194343
PC11,LandUse_Area,-0.2331966445688316,0.2331966445688316
PC11,Area_km2,-0.2293411967572391,0.2293411967572391
PC11,MeanPTAL,0.12437332192796129,0.12437332192796129
PC11,Education_HighLevel_pct,0.11576510195662722,0.11576510195662722
PC11,StreetSegments,0.09937482859161793,0.09937482859161793
PC11,StreetDensity_m_per_m2,0.07742545250807395,0.07742545250807395
PC11,ReviewCount,-0.06975749020392763,0.06975749020392763
PC12,StreetDensity_m_per_m2,0.432558867972793,0.432558867972793
PC12,LandUse_Diversity,0.22117187535199967,0.22117187535199967
PC12,StationsWithin500m,-0.15985826260700806,0.15985826260700806
PC12,LandUse_Area,0.15089966312449932,0.15089966312449932
PC12,StreetSegments,-0.13802450100390817,0.13802450100390817
PC12,ReviewCount,0.10714541913956559,0.10714541913956559
PC12,StreetLength_m,-0.10221325399408593,0.10221325399408593
PC12,NearestStation_m,-0.08303800057156788,0.08303800057156788
PC12,MeanPTAL,-0.07196254409836408,0.07196254409836408
PC12,Education_HighLevel_pct,-0.07050531161244306,0.07050531161244306
PC13,MeanPTAL,0.3516085534546084,0.3516085534546084
PC13,StationsWithin500m,-0.350921219015617,0.350921219015617
PC13,NearestStation_m,-0.11973211798836982,0.11973211798836982
PC13,StreetDensity_m_per_m2,-0.05477184235445524,0.05477184235445524
PC13,ReviewCount,-0.05175678185715812,0.05175678185715812
PC13,LandUse_Diversity,-0.04828614092963623,0.04828614092963623
