PC,Feature,Loading,AbsLoading
PC4,MeanPTAL,-0.16086692992059543,0.16086692992059543
PC4,SentimentSD,0.1377199461164017,0.1377199461164017
PC5,NearestStation_m,0.604680363583934,0.604680363583934
PC5,LandUse_Diversity,-0.4499908840875564,0.4499908840875564
PC5,Education_HighLevel_pct,0.35082270258684045,0.35082270258684045
PC5,StreetDensity_m_per_m2,0.3204546023502079,0.3204546023502079
PC5,StationsWithin500m,-0.3075305219107893,0.3075305219107893
PC5,Population,0.2802999971156922,0.2802999971156922
PC5,ReviewCount,0.10291641995637531,0.10291641995637531
PC5,SentimentSD,0.09060421895341736,0.09060421895341736
PC5,NearestRail_m,-0.08830511266120498,0.08830511266120498
PC5,StreetSegments,0.06347992052732827,0.06347992052732827
PC6,ReviewCount,0.6787101346636275,0.6787101346636275
PC6,Population,0.34733766567042895,0.34733766567042895
PC6,StreetDensity_m_per_m2,-0.308406901264733,0.308406901264733
PC6,NearestRail_m,-0.2504724016868163,0.2504724016868163
PC6,LandUse_Diversity,0.21252841166106057,0.21252841166106057
PC6,Education_HighLevel_pct,-0.16882996701632905,0.16882996701632905
PC6,StreetLength_m,-0.16317117007049262,0.16317117007049262
PC6,LandUse_Area,-0.14496232072940965,0.14496232072940965
PC6,StreetSegments,-0.13451517587882436,0.13451517587882436
PC6,Area_km2,-0.11301661381378557,0.11301661381378557
PC7,Population,0.5563862303697443,0.5563862303697443
PC7,ReviewCount,-0.5141505310813475,0.5141505310813475
PC7,NearestRail_m,-0.35171530770485204,0.35171530770485204
PC7,LandUse_Diversity,0.2821427670745748,0.2821427670745748
PC7,StreetSegments,-0.16309997311326277,0.16309997311326277
PC7,LandUse_Area,0.14306540768761608,0.14306540768761608
PC7,Area_km2,0.11349173773570508,0.11349173773570508
PC7,MeanPTAL,0.10496799746627175,0.10496799746627175
PC7,Education_HighLevel_pct,0.10358438049446893,0.10358438049446893
PC7,SentimentSD,-0.09352394039088724,0.09352394039088724
PC8,SentimentSD,0.3391206475581654,0.3391206475581654
PC8,MeanSentiment,0.3069054533794433,0.3069054533794433
PC8,NearestRail_m,0.28930160421512163,0.28930160421512163
PC8,LandUse_Area,0.26442457540901365,0.26442457540901365
PC8,StreetSegments,-0.26323655915904365,0.26323655915904365
PC8,StationsWithin500m,0.26239048251323616,0.26239048251323616
PC8,MeanPTAL,0.2424309588404116,0.2424309588404116
PC8,StreetLength_m,-0.21232920254158708,0.21232920254158708
PC8,Area_km2,0.20501873156620012,0.20501873156620012
PC8,ReviewCount,0.1277716581746965,0.1277716581746965
PC9,MeanSentiment,0.48954646604344026,0.48954646604344026
PC9,SentimentSD,0.46166892854078423,0.46166892854078423
PC9,NearestRail_m,-0.24735617480906946,0.24735617480906946
PC9,MeanPTAL,-0.2143276089415377,0.2143276089415377
PC9,StationsWithin500m,-0.17397637901513882,0.17397637901513882
PC9,NearestStation_m,-0.14821352450010228,0.14821352450010228
PC9,LandUse_Area,-0.14021254997622232,0.14021254997622232
PC9,LandUse_Diversity,0.11630615952612407,0.11630615952612407
PC9,Area_km2,-0.11546858403151822,0.11546858403151822
PC9,StreetSegments,0.11035304778552178,0.11035304778552178
